1,0/0/0,0:0:0,+3.39,+227.4,+3.39,+23.8,-0.6,+0.4,+0,-2.30,-2.50
1,1/1/0,0:30:0,+1.77,+220.4,+5.06,+24.4,-0.3,+0.3,+0,-1.35,-1.15
1,1/1/0,1:0:0,+1.37,+209.3,+3.13,+25.3,-0.5,+0.9,+0,-1.19,-0.67
1,1/1/0,1:30:0,+1.51,+201.7,+5.17,+25.9,-0.8,+0.8,+0,-1.40,-0.56
1,1/1/0,2:0:0,+1.54,+207.5,+3.55,+26.2,-0.7,+0.7,+0,-1.37,-0.71
1,1/1/0,2:30:0,+1.54,+212.3,+4.07,+26.5,-0.5,+0.8,+0,-1.30,-0.82
1,1/1/0,3:0:0,+1.40,+208.2,+4.02,+26.5,-0.8,+0.7,+0,-1.23,-0.66
1,1/1/0,3:30:0,+1.09,+214.5,+4.70,+27.1,-0.6,+0.6,+0,-0.90,-0.62
1,1/1/0,4:0:0,+1.10,+213.8,+3.68,+27.3,-0.7,+0.9,+0,-0.91,-0.61
1,1/1/0,4:30:0,+1.04,+218.8,+3.54,+26.4,-0.7,+1.0,+0,-0.81,-0.65
1,1/1/0,5:0:0,+0.66,+214.2,+2.67,+26.1,-0.5,+0.8,+0,-0.54,-0.37
1,1/1/0,5:30:0,+0.39,+193.9,+1.73,+25.2,-0.6,+0.7,+0,-0.38,-0.09
1,1/1/0,6:0:0,+0.29,+66.3,+1.24,+24.2,-0.6,+0.8,+0,+0.12,+0.26
1,1/1/0,6:30:0,+0.18,+117.7,+0.51,+22.2,-0.7,+0.8,+0,-0.08,+0.16
1,1/1/0,7:0:0,+0.18,+86.3,+0.67,+20.9,-0.7,+0.9,+0,+0.01,+0.18
1,1/1/0,7:30:0,+0.38,+317.8,+0.77,+20.5,-0.5,+0.7,+0,+0.28,-0.25
1,1/1/0,8:0:0,+0.43,+309.1,+0.91,+19.3,-0.5,+0.9,+0,+0.27,-0.33
1,1/1/0,8:30:0,+0.37,+333.7,+1.02,+18.5,-0.5,+0.7,+0,+0.33,-0.16
1,1/1/0,9:0:0,+0.45,+289.1,+0.96,+17.3,-0.5,+0.9,+0,+0.15,-0.42
1,1/1/0,9:30:0,+0.32,+287.8,+0.82,+16.7,-0.6,+0.8,+0,+0.10,-0.31
1,1/1/0,10:0:0,+0.31,+289.0,+0.58,+16.1,-0.4,+0.6,+0,+0.10,-0.30
1,1/1/0,10:30:0,+0.26,+286.3,+0.52,+15.5,-0.7,+0.9,+0,+0.07,-0.24
1,1/1/0,11:0:0,+0.29,+326.2,+0.64,+14.7,-0.7,+1.0,+0,+0.24,-0.16
1,1/1/0,11:30:0,+0.28,+353.5,+0.62,+14.5,-0.7,+0.8,+0,+0.28,-0.03
1,1/1/0,12:0:0,+0.27,+349.1,+0.57,+14.3,-0.5,+0.7,+0,+0.26,-0.05
1,1/1/0,12:30:0,+0.27,+302.8,+0.64,+13.8,-0.4,+0.8,+0,+0.15,-0.23
1,1/1/0,13:0:0,+0.27,+357.2,+0.69,+13.3,-0.6,+0.9,+0,+0.27,-0.01
1,1/1/0,13:30:0,+0.27,+332.0,+0.62,+12.8,-0.4,+0.8,+0,+0.24,-0.13
1,1/1/0,14:0:0,+0.28,+288.0,+0.57,+12.3,-0.5,+0.9,+0,+0.09,-0.26
1,1/1/0,14:30:0,+0.25,+337.3,+0.59,+12.0,-0.5,+0.6,+0,+0.23,-0.10
1,1/1/0,15:0:0,+0.24,+306.4,+0.57,+11.7,-0.7,+0.9,+0,+0.14,-0.19
1,1/1/0,15:30:0,+0.26,+324.2,+0.64,+11.3,-0.5,+0.9,+0,+0.21,-0.15
1,1/1/0,16:0:0,+0.21,+352.1,+0.53,+11.0,-0.4,+0.8,+0,+0.21,-0.03
1,1/1/0,16:30:0,+0.29,+16.7,+0.54,+11.1,-0.6,+0.7,+0,+0.28,+0.08
